created_at,text,retweet_count,favourite_count
2021-08-26 14:42:58,#DJIA (#SP500 #NASDAQ) position (https://t.co/UokBHsv0WC) https://t.co/755Q81k8TO,0,0
2021-08-26 14:41:25,"#SP500 Daily update 
Look left - every time price failed to breach the yellow line , we got a pull back 

Added som… https://t.co/lvMmZ5pQcd",0,3
2021-08-26 14:40:09,"#TBT: The #SP500 was launched in 1957. To be eligible for the #index today, a #US company needs market cap of at le… https://t.co/dVPcITh3S1",0,0
2021-08-26 14:39:31,Market turns red on increasing taper talk with regional Fed president James Bullard and Esther George telling @CNBC… https://t.co/iMRVHcTc8z,0,1
2021-08-26 14:38:15,#DJIA #SP500 #NASDAQ performance (https://t.co/UokBHsv0WC) https://t.co/lW3IgwDsuE,0,0
2021-08-26 14:36:11,$SPY #SP500 sell signal. Needs back above the purple to negate. Preferably within the hour. https://t.co/8ZIBAw3Xi3,0,0
2021-08-26 14:35:28,Performance chart vs #DJIA #SP500 #NASDAQ (https://t.co/UokBHsv0WC 08/26/2021) https://t.co/KzVGETFuJO,0,0
2021-08-26 14:34:10,"Lucid Group $LCID

Block of 50,192 shares at $21.86 worth $1,097,197

#Nasdaq #SP500",0,2
2021-08-26 14:33:03,#SP500 Futures ... ops! https://t.co/SHEUbNrQkf,0,1
2021-08-26 14:32:19,“One secret of success in life is for a man to be ready for his opportunity when it comes.” – Benjamin Disraeli… https://t.co/mBdwihs0fe,0,3
2021-08-26 14:31:57,#DJIA #SP500 #NASDAQ vs BTD ? recent performance update: https://t.co/UokBHsv0WC https://t.co/oaKiWf6Vm8,0,0
2021-08-26 14:29:48,$SPY $ES_F $NYSE #SP500 #stockmarket #markets #investing #equities #Futures #stocks SPY /ES_F officially overbought… https://t.co/Bhqb7jGrTs,0,0
2021-08-26 14:28:57,"Macy's $M

Block of 123,850 shares at $22.90 worth $2,836,165

Checkout recent deals too in this counter.

#Nasdaq #SP500",0,0
2021-08-26 14:27:24,Compare with #djia #SP500 #NASDAQ historical performance numbers: https://t.co/UokBHsv0WC https://t.co/Fr4MowAMex,0,0
2021-08-26 14:27:09,"#LEGO #LEGOFriends set 41126 - Heartlake Riding Club, 2016 Release #LEGOFriendsAccessories #LEGOFriendsPets… https://t.co/WK877XmkPq",0,0
2021-08-26 14:23:44,"Fuelcell Energy $FCEL

Block of 91,665 shares at $6.50 worth $595,822

#Nasdaq #SP500",1,1
2021-08-26 14:23:18,@point7five @hussmanjp Good work! so this data explains 92% of the data and regression to the mean over 12Y. It rem… https://t.co/XLQHS9qjJA,0,0
2021-08-26 14:20:17,"$RIDE

Block of 294,850 shares at $6.90 worth $2,034,465

#Nasdaq #SP500",0,0
2021-08-26 14:19:08,"Russel2000 stagnated since March, Dow since May, SP500 is slowing, Hong Kong is down 43%, Asia slowing... all hopes… https://t.co/2yN9amN4oT",3,24
2021-08-26 14:18:57,"Hot Stocks to buy for Swing Trading for this week – Expert Stock Picks of the Week by StockXpo - $ARCH, $SGH, $SWBI… https://t.co/tvgoIb4pGW",0,0
2021-08-26 14:18:48,"Vinco Ventures $BBIG

Block of 100,007 shares at $2.96 worth $296,020 

#Nasdaq #SP500",4,26
2021-08-26 14:17:19,"Clover Health $CLOV

Block of 43,029 shares at $8.72 worth $375,212 

#Nasdaq #SP500",1,7
2021-08-26 14:11:27,SP500 update 2021-08-26 09:10:39: 1 day(s) added with 505 line(s) retrieved and 1010 row(s) uploaded,0,0
2021-08-26 14:10:15,SP500 update 2021-08-26 09:09:26: 8 day(s) uploaded with 3030 line(s) retrieved and 4040 row(s) uploaded,0,0
2021-08-26 14:05:27,"Naked Brand $NAKD

Block of 592,780 shares at $0.75 worth $444,555

Checkout past deals too in this counter, all av… https://t.co/wOoiISZkCf",0,4
2021-08-26 14:04:45,"and they say - there is no bubble.

what you mention is a definition of bubble and a hard crash landing coming soon… https://t.co/bGv8wy4acg",0,0
2021-08-26 14:00:25,"Current S&amp;P 500 #SP500 Price: $4,491.01 📉",0,0
2021-08-26 14:00:02,"#Bitcoin Performance since the Halving
Aug. 25, 2021

Since the halving:
🟠 BTC +461%
🔵 SP500 +53.9%
🟡 GOLD +5.44% https://t.co/aZkG1rG8iv",5,37
2021-08-26 13:59:57,"giving up for today.. i wont survive another day as slow as yesterday. Result is +6T, which feels like twice today'… https://t.co/DK31vgFidH",0,0
2021-08-26 13:58:17,"Glory Star $GSMG

Block of 132,008 shares at $2.20 worth $290,417

#Nasdaq #SP500",0,1
2021-08-26 13:55:47,"Select Quote $SLQT

Block of 106,153 shares at $7.90 worth $838,608

#Nasdaq #SP500",0,0
2021-08-26 13:50:58,"S&amp;P 500 E-mini #Futures #ES_U 🔻 6.5 Points (0.14%) to 4,487. #SP500 $SPX $SPY #futurestrading #future #Investment… https://t.co/wpeOtjO39d",0,0
2021-08-26 13:50:45,#PrivateTrader Two scenarios of equal likelihood: A slow beginning to an upward push? Or a continuing low-level cor… https://t.co/CMkNq0ek3C,0,0
